SEASON,TEAM,G,WIN,LOSS,WIN%,PTS,OPP PTS,NET PTS,OFF RTG,DEF RTG,NET RTG,PACE
2021-22,Ga. Southern,25,15,10,60.00%,75.5,70.8,4.8,94.5,88.7,5.8,78.8
2021-22,High Point,29,15,14,51.70%,61.1,60.1,1,86.2,84.5,1.7,70.7
2021-22,Michigan St.,30,15,15,50.00%,70.6,67.1,3.5,99.4,93.8,5.5,70.7
2021-22,Minnesota,33,15,18,45.50%,69.7,71.8,-2.1,98.2,101,-2.8,70.7
2021-22,Mississippi St.,29,15,14,51.70%,71.1,68,3.2,99.3,94.8,4.5,71.7
2021-22,Little Rock,25,15,10,60.00%,60,58.7,1.3,87.1,85.5,1.6,67.8
2021-22,Louisiana,22,15,7,68.20%,64.6,59.9,4.8,91.7,85.1,6.7,70
2021-22,Oakland,30,15,15,50.00%,62.6,64,-1.4,90,93.2,-3.2,69.1
2021-22,Mount St. Mary's,28,15,13,53.60%,62.5,62.1,0.3,91.8,90.5,1.3,68.4
2021-22,NJIT,30,15,15,50.00%,56.7,60,-3.3,84.3,88.1,-3.8,66.8
2021-22,Niagara,30,15,15,50.00%,69.9,73.2,-3.3,85.7,90.2,-4.5,80.7
2021-22,Alabama A&M,29,15,14,51.70%,59.7,62.8,-3.1,86.1,90,-3.9,68.9
2021-22,Army West Point,28,15,13,53.60%,63,64.8,-1.8,88.2,91.9,-3.7,70
2021-22,West Virginia,30,15,15,50.00%,66.5,65.2,1.3,89.5,87.8,1.7,72.7
2021-22,Wyoming,28,15,13,53.60%,64.3,61.6,2.6,95.3,91.3,4,65.1
2021-22,Coppin St.,28,15,13,53.60%,62.9,63.3,-0.5,85.4,85.4,0,73.8
2021-22,SMU,29,14,15,48.30%,60.7,61.3,-0.7,86.4,87.1,-0.8,69.7
2021-22,San Diego St.,30,14,16,46.70%,62.3,64,-1.6,89.9,92.8,-2.8,69.1
2021-22,Santa Clara,29,14,15,48.30%,68.9,70.5,-1.6,96.6,98.5,-1.9,70.8
2021-22,Ohio,29,14,15,48.30%,72.7,72.5,0.2,97.5,97.1,0.4,74.6
2021-22,Oral Roberts,29,14,15,48.30%,63.7,66.8,-3.1,88.5,93.2,-4.7,71.1
2021-22,Milwaukee,30,14,16,46.70%,58.6,59.1,-0.5,88.7,89.1,-0.4,66
2021-22,Monmouth,30,14,16,46.70%,59.2,61.6,-2.4,81.9,85.7,-3.9,71.5
2021-22,Eastern Ill.,28,14,14,50.00%,66.9,67,-0.1,93.1,93.4,-0.3,70.5
2021-22,Grambling,31,14,17,45.20%,64.3,68.2,-3.9,88.3,94,-5.7,72.6
2021-22,James Madison,29,14,15,48.30%,63.6,64.6,-1,90.6,92.3,-1.7,69.5
2021-22,UC Santa Barbara,26,14,12,53.80%,59,58.2,0.8,87.9,87,0.9,66.7
2021-22,UTEP,29,14,15,48.30%,65.2,65.4,-0.2,92.7,92.9,-0.2,68.5
2021-22,UTRGV,33,14,19,42.40%,60.9,65.4,-4.5,85.8,91.9,-6.1,70.8
2021-22,Utah Valley,29,14,15,48.30%,62.5,61,1.5,94.4,91.4,3,65.9
2021-22,Southeastern La.,25,14,11,56.00%,61.4,56.4,5,89.6,81.9,7.6,67.7
